play;character_id;gender;num_speeches;total_words;Spalte1
ger000013-klopstock-der-tod-adams.tei;#adam;MALE;72;3034;
ger000013-klopstock-der-tod-adams.tei;#der_todesengel;UNKNOWN;1;79;
ger000013-klopstock-der-tod-adams.tei;#die_dritte;FEMALE;2;5;
ger000013-klopstock-der-tod-adams.tei;#eine_mutter;FEMALE;2;3;
ger000013-klopstock-der-tod-adams.tei;#eva;FEMALE;20;502;
ger000013-klopstock-der-tod-adams.tei;#heman;MALE;2;16;
ger000013-klopstock-der-tod-adams.tei;#kain;MALE;14;371;
ger000013-klopstock-der-tod-adams.tei;#noch_eine;FEMALE;2;4;
ger000013-klopstock-der-tod-adams.tei;#selima;FEMALE;16;605;
ger000013-klopstock-der-tod-adams.tei;#seth;MALE;59;1263;
ger000013-klopstock-der-tod-adams.tei;#sunim;MALE;2;5;
ger000024-lautensack-die-pfarrhauskomoedie.tei;#achatius_achaz;MALE;38;1091;
ger000024-lautensack-die-pfarrhauskomoedie.tei;#ambrosia;FEMALE;40;712;
ger000024-lautensack-die-pfarrhauskomoedie.tei;#irma;FEMALE;182;3329;
ger000024-lautensack-die-pfarrhauskomoedie.tei;#vincenz;MALE;150;2594;
ger000033-stephanie-der-schauspieldirektor.tei;#eiler;MALE;58;1058;
ger000033-stephanie-der-schauspieldirektor.tei;#frank;MALE;45;541;
ger000033-stephanie-der-schauspieldirektor.tei;#herz;MALE;38;588;
ger000033-stephanie-der-schauspieldirektor.tei;#madame_herz;FEMALE;16;16;
ger000033-stephanie-der-schauspieldirektor.tei;#madame_krone;FEMALE;43;1171;
ger000033-stephanie-der-schauspieldirektor.tei;#madame_pfeil;FEMALE;56;666;
ger000033-stephanie-der-schauspieldirektor.tei;#madame_vogelsang;FEMALE;44;952;
ger000033-stephanie-der-schauspieldirektor.tei;#mademoiselle_silberklang;FEMALE;18;117;
ger000033-stephanie-der-schauspieldirektor.tei;#monsieur_vogelsang;MALE;8;0;
ger000033-stephanie-der-schauspieldirektor.tei;#puf;MALE;74;1346;
ger000071-wedekind-tod-und-teufel.tei;#casti_piani;MALE;68;3266;
ger000071-wedekind-tod-und-teufel.tei;#elfriede;FEMALE;65;2446;
ger000071-wedekind-tod-und-teufel.tei;#herr_koenig;MALE;13;0;
ger000071-wedekind-tod-und-teufel.tei;#lisiska;FEMALE;14;0;
ger000077-droste-huelshoff-perdu.tei;#claudine;FEMALE;87;1971;
ger000077-droste-huelshoff-perdu.tei;#ein_diener;MALE;7;54;
ger000077-droste-huelshoff-perdu.tei;#frau_speth;FEMALE;34;843;
ger000077-droste-huelshoff-perdu.tei;#frau_von_austen;FEMALE;25;668;
ger000077-droste-huelshoff-perdu.tei;#frau_von_thielen;FEMALE;10;107;
ger000077-droste-huelshoff-perdu.tei;#ida;FEMALE;57;676;
ger000077-droste-huelshoff-perdu.tei;#seybold;MALE;93;1120;
ger000077-droste-huelshoff-perdu.tei;#sonderrath;MALE;126;1658;
ger000077-droste-huelshoff-perdu.tei;#speth;MALE;171;3573;
ger000077-droste-huelshoff-perdu.tei;#willibald;MALE;153;2264;
ger000108-grillparzer-sappho.tei;#ein_landmann;MALE;15;0;
ger000108-grillparzer-sappho.tei;#einer_aus_dem_volke;MALE;2;0;
ger000108-grillparzer-sappho.tei;#eucharis;FEMALE;37;0;
ger000108-grillparzer-sappho.tei;#geschrei-volk;UNKNOWN;4;0;
ger000108-grillparzer-sappho.tei;#maedchen;UNKNOWN;1;0;
ger000108-grillparzer-sappho.tei;#melitta;FEMALE;122;0;
ger000108-grillparzer-sappho.tei;#phaon;MALE;151;0;
ger000108-grillparzer-sappho.tei;#rhamnes;MALE;113;0;
ger000108-grillparzer-sappho.tei;#ruf_von_drinnen;UNKNOWN;2;0;
ger000108-grillparzer-sappho.tei;#sappho;FEMALE;152;0;
ger000126-goethe-stella.tei;#annchen;FEMALE;9;192;
ger000126-goethe-stella.tei;#bedienter;MALE;11;138;
ger000126-goethe-stella.tei;#der_junge;MALE;1;2;
ger000126-goethe-stella.tei;#fernando;MALE;126;2535;
ger000126-goethe-stella.tei;#lucie;FEMALE;58;859;
ger000126-goethe-stella.tei;#madame_sommer_bzw_caecilie;FEMALE;96;2614;
ger000126-goethe-stella.tei;#postillion;MALE;4;21;
ger000126-goethe-stella.tei;#postmeisterin;FEMALE;43;1077;
ger000126-goethe-stella.tei;#stella;FEMALE;88;3826;
ger000126-goethe-stella.tei;#verwalter;MALE;14;328;
ger000146-wedekind-musik.tei;#der_gefaengnisdirektor;MALE;6;345;
ger000146-wedekind-musik.tei;#der_wachtmeister;MALE;12;208;
ger000146-wedekind-musik.tei;#die_aufseherin;FEMALE;14;637;
ger000146-wedekind-musik.tei;#dr_schwarzkopf;MALE;14;992;
ger000146-wedekind-musik.tei;#ein_dienstmaedchen;FEMALE;1;17;
ger000146-wedekind-musik.tei;#else;FEMALE;31;1582;
ger000146-wedekind-musik.tei;#frau_oberst;FEMALE;9;223;
ger000146-wedekind-musik.tei;#josef;MALE;79;3726;
ger000146-wedekind-musik.tei;#klara;FEMALE;99;3707;
ger000146-wedekind-musik.tei;#lindekuh;MALE;46;1282;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#anna;FEMALE;172;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#christian;MALE;7;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#dahlsjoe;MALE;61;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#der_bursch;MALE;7;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#der_fischer;MALE;17;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#des_fischers_frau;FEMALE;12;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#des_fischers_sohn;MALE;6;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#die_bergleute;UNKNOWN;1;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#die_gaeste;UNKNOWN;2;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#elis;MALE;197;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#erste_magd;FEMALE;4;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#erstes_maedchen;FEMALE;6;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#frau_jensen;FEMALE;17;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#grossmutter;FEMALE;21;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#handwerksbursch;MALE;7;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#ilsebill;FEMALE;24;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#kathrine;FEMALE;5;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#kind;FEMALE;40;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#klaus;MALE;2;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#knecht;MALE;1;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#koenigin;FEMALE;30;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#peter;MALE;9;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#portugieser;MALE;7;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#regine;FEMALE;6;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#torbern;MALE;33;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#zweite_magd;FEMALE;2;0;
ger000161-hofmannsthal-das-bergwerk-zu-falun.tei;#zweites_maedchen;FEMALE;5;0;
ger000199-bossdorf-bahnmeister-dood.tei;#bahnwerter;MALE;236;4681;
ger000199-bossdorf-bahnmeister-dood.tei;#botterwiev;FEMALE;101;2903;
ger000199-bossdorf-bahnmeister-dood.tei;#fru;FEMALE;307;5459;
ger000199-bossdorf-bahnmeister-dood.tei;#holtvaagt;MALE;128;3227;
ger000224-goethe-die-laune-des-verliebten.tei;#amine;FEMALE;86;0;
ger000224-goethe-die-laune-des-verliebten.tei;#egle;FEMALE;88;0;
ger000224-goethe-die-laune-des-verliebten.tei;#eridon;MALE;69;0;
ger000224-goethe-die-laune-des-verliebten.tei;#lamon;MALE;20;0;
ger000226-neuber-die-beschuetzte-schauspielkunst.tei;#erhabene_geschmack;UNKNOWN;9;0;
ger000226-neuber-die-beschuetzte-schauspielkunst.tei;#misbrauch;UNKNOWN;16;0;
ger000226-neuber-die-beschuetzte-schauspielkunst.tei;#nutzen;UNKNOWN;5;0;
ger000226-neuber-die-beschuetzte-schauspielkunst.tei;#poebel;UNKNOWN;7;0;
ger000226-neuber-die-beschuetzte-schauspielkunst.tei;#schauspielkunst;UNKNOWN;27;0;
ger000226-neuber-die-beschuetzte-schauspielkunst.tei;#scheinfroemmigkeit;UNKNOWN;30;0;
ger000226-neuber-die-beschuetzte-schauspielkunst.tei;#unschuldige_lust;UNKNOWN;13;0;
ger000226-neuber-die-beschuetzte-schauspielkunst.tei;#unwissenheit;UNKNOWN;43;0;
ger000226-neuber-die-beschuetzte-schauspielkunst.tei;#verderbte_geschmack;UNKNOWN;8;0;
ger000226-neuber-die-beschuetzte-schauspielkunst.tei;#weisheit;UNKNOWN;4;0;
ger000230-neuber-die-verehrung-der-vollkommenheit.tei;#alterthum;UNKNOWN;14;0;
ger000230-neuber-die-verehrung-der-vollkommenheit.tei;#fleis;UNKNOWN;25;0;
ger000230-neuber-die-verehrung-der-vollkommenheit.tei;#liebe;UNKNOWN;13;0;
ger000230-neuber-die-verehrung-der-vollkommenheit.tei;#regel;UNKNOWN;56;0;
ger000230-neuber-die-verehrung-der-vollkommenheit.tei;#trauerspiel;UNKNOWN;52;48;
ger000230-neuber-die-verehrung-der-vollkommenheit.tei;#verstand;UNKNOWN;4;0;
ger000230-neuber-die-verehrung-der-vollkommenheit.tei;#vollkommenheit;UNKNOWN;2;0;
ger000237-hofmannsthal-die-frau-im-fenster.tei;#amme;FEMALE;34;656;
ger000237-hofmannsthal-die-frau-im-fenster.tei;#braccio;MALE;9;25;
ger000237-hofmannsthal-die-frau-im-fenster.tei;#der_dichter;MALE;1;0;
ger000237-hofmannsthal-die-frau-im-fenster.tei;#dianora;FEMALE;48;271;
ger000248-schlaf-meister-oelze.tei;#emil;MALE;102;1444;
ger000248-schlaf-meister-oelze.tei;#frau_kramer;FEMALE;2;6;
ger000248-schlaf-meister-oelze.tei;#frau_weidenhammer;FEMALE;44;893;
ger000248-schlaf-meister-oelze.tei;#mariechen;FEMALE;83;596;
ger000248-schlaf-meister-oelze.tei;#meister_oelze;MALE;262;4099;
ger000248-schlaf-meister-oelze.tei;#patschke;MALE;13;263;
ger000248-schlaf-meister-oelze.tei;#pauline;MALE;342;5810;
ger000248-schlaf-meister-oelze.tei;#rese;FEMALE;171;3818;
ger000260-leisewitz-die-pfandung.tei;#der_mann;MALE;9;215;
ger000260-leisewitz-die-pfandung.tei;#die_frau;FEMALE;9;133;
ger000269-lortzing-der-wildschuetz.tei;#baculus;MALE;277;2103;
ger000269-lortzing-der-wildschuetz.tei;#baron;MALE;241;1398;
ger000269-lortzing-der-wildschuetz.tei;#baronin;FEMALE;145;600;
ger000269-lortzing-der-wildschuetz.tei;#dienerchor;UNKNOWN;4;0;
ger000269-lortzing-der-wildschuetz.tei;#ein_hochzeitsgast;MALE;1;0;
ger000269-lortzing-der-wildschuetz.tei;#erstes_maedchen;FEMALE;1;0;
ger000269-lortzing-der-wildschuetz.tei;#graefin;FEMALE;97;830;
ger000269-lortzing-der-wildschuetz.tei;#graf;MALE;198;824;
ger000269-lortzing-der-wildschuetz.tei;#gretchen;FEMALE;138;889;
ger000269-lortzing-der-wildschuetz.tei;#jaeger;UNKNOWN;5;0;
ger000269-lortzing-der-wildschuetz.tei;#landleute;UNKNOWN;33;0;
ger000269-lortzing-der-wildschuetz.tei;#maedchen;UNKNOWN;14;0;
ger000269-lortzing-der-wildschuetz.tei;#nanette;FEMALE;34;312;
ger000269-lortzing-der-wildschuetz.tei;#pancratius;MALE;39;492;
ger000269-lortzing-der-wildschuetz.tei;#schuljugend;UNKNOWN;3;0;
ger000269-lortzing-der-wildschuetz.tei;#zweites_maedchen;FEMALE;1;0;
ger000328-schlegel-die-stumme-schoenheit.tei;#cathrine;FEMALE;48;0;
ger000328-schlegel-die-stumme-schoenheit.tei;#charlotte;FEMALE;64;0;
ger000328-schlegel-die-stumme-schoenheit.tei;#jacob;MALE;25;0;
ger000328-schlegel-die-stumme-schoenheit.tei;#jungwitz;MALE;94;0;
ger000328-schlegel-die-stumme-schoenheit.tei;#laconius;MALE;12;0;
ger000328-schlegel-die-stumme-schoenheit.tei;#leonore;FEMALE;43;0;
ger000328-schlegel-die-stumme-schoenheit.tei;#praatgern;FEMALE;62;0;
ger000328-schlegel-die-stumme-schoenheit.tei;#richard;MALE;77;0;
ger000370-scheerbart-das-mirakel.tei;#er;MALE;74;2058;
ger000370-scheerbart-das-mirakel.tei;#sie;FEMALE;76;945;
ger000373-wieland-alceste.tei;#admet;MALE;56;0;
ger000373-wieland-alceste.tei;#alceste;FEMALE;36;0;
ger000373-wieland-alceste.tei;#chor;UNKNOWN;2;0;
ger000373-wieland-alceste.tei;#herkules;MALE;41;0;
ger000373-wieland-alceste.tei;#parthenia;FEMALE;56;0;
ger000377-wedekind-die-zensur.tei;#buridan;MALE;100;3884;
ger000377-wedekind-die-zensur.tei;#die_zofe;FEMALE;4;43;
ger000377-wedekind-die-zensur.tei;#dr_prantl;MALE;36;1571;
ger000377-wedekind-die-zensur.tei;#kadidja;FEMALE;64;2215;
ger000383-goethe-erwin-und-elmire.tei;#bernardo;MALE;66;1540;
ger000383-goethe-erwin-und-elmire.tei;#elmire;FEMALE;51;1140;
ger000383-goethe-erwin-und-elmire.tei;#erwin;MALE;41;908;
ger000383-goethe-erwin-und-elmire.tei;#olimpia;FEMALE;19;1326;
ger000426-wagner-voltaire-am-abend-seiner-apotheose.tei;#amme;FEMALE;17;1346;
ger000426-wagner-voltaire-am-abend-seiner-apotheose.tei;#gespenst;UNKNOWN;11;96;
ger000426-wagner-voltaire-am-abend-seiner-apotheose.tei;#voltaire;MALE;29;2233;
ger000449-bodmer-odoardo-galotti-vater-der-emilia.tei;#appiani;MALE;16;556;
ger000449-bodmer-odoardo-galotti-vater-der-emilia.tei;#claudia;FEMALE;15;809;
ger000449-bodmer-odoardo-galotti-vater-der-emilia.tei;#der_prinz;MALE;7;813;
ger000449-bodmer-odoardo-galotti-vater-der-emilia.tei;#die_schauspielerinn;FEMALE;1;1082;
ger000449-bodmer-odoardo-galotti-vater-der-emilia.tei;#laura;FEMALE;5;169;
